"gene","original_logFC","original_adj.P.Val","adjusted_logFC","AveExpr","t","adjusted_P.Value","adjusted_adj.P.Val","B","original_sig","adjusted_sig","classification"
"FOXP2",-1.24795212342945,4.65795535210926e-12,-1.33053549310176,4.8724114354,-4.80428535412613,2.60380723657695e-05,0.00512713315856879,2.53112645909932,TRUE,TRUE,"retained"
"FOXP3",-0.436326259862757,0.000167972379169457,-0.075570693039094,7.0672561511,-0.28354017043098,0.778350566409336,0.887378025839922,-6.107805388532,FALSE,FALSE,"neither"
"FOXP4",0.0747206509398612,0.53911191071391,0.106708709556023,8.4699132291,0.354465191128132,0.725012846922531,0.855682726156734,-6.08567231276862,FALSE,FALSE,"neither"
"FOXQ1",-0.357354792790287,0.000725373275647393,-0.0711832708434206,6.989248303375,-0.294306210810936,0.770174838654211,0.883112070156179,-6.10476187383523,FALSE,FALSE,"neither"
"FOXR1",-0.3245764538643,0.00678002628206052,-0.425950683041574,5.643006962375,-1.3507926001241,0.185008132188272,0.483601670922934,-5.27457188706873,FALSE,FALSE,"neither"
"FOXR2",-0.576892515022359,0.000202089897754779,-0.378972923999477,5.199196260425,-1.06669790378566,0.293056946390841,0.582550277281231,-5.59786583424368,FALSE,FALSE,"neither"
"FOXRED1",0.315917624668467,0.0145795436226385,0.404327190906435,7.763165948325,1.29630184407011,0.202942607460862,0.502565992166861,-5.34196853996904,FALSE,FALSE,"neither"
"FOXRED2",0.0196366840809565,0.917442686222195,-0.457466611462775,7.64055730855,-1.03597518482337,0.306973934824938,0.591467249820517,-5.62858939135311,FALSE,FALSE,"neither"
"FOXS1",-0.858568213282188,7.37421422310558e-08,-0.581198512990506,7.568700672925,-2.03048389207093,0.049579533558458,0.266774157944852,-4.23493076436321,FALSE,FALSE,"neither"
"FPGS",0.281755403482655,0.00576460645742967,0.527059207446301,8.010068195275,2.05708205622032,0.0468067916749059,0.258384226232166,-4.18720102547229,FALSE,FALSE,"neither"
"FPGT-TNNI3K",0.887314229159601,2.75849633372126e-05,0.240141158069889,7.5934540583,0.546809976546059,0.587810092214176,0.776129595093664,-6.00114229040389,FALSE,FALSE,"neither"
"FPR1",0.27571457299692,0.431151183144883,0.287325176644776,10.057927971,0.460018934528661,0.648209284743991,0.811986937527928,-6.04369951599351,FALSE,FALSE,"neither"
"FPR2",-1.16877455339399,8.74145485020949e-06,-1.58177950834645,5.56946884465,-3.23678237510736,0.00255982439785718,0.0523132934198348,-1.65223351039148,TRUE,FALSE,"attenuated"
"FPR3",1.19433441665073,0.000488335362673279,2.93355257957572,8.26650158795,4.15691827432695,0.000184604797849871,0.0131639174368007,0.734605004609739,TRUE,TRUE,"retained"
"FRA10AC1",0.801094306365462,0.000476450705595658,0.368514684170426,8.93095026165,0.718332067318698,0.477088963495712,0.709613524416627,-5.89591158831608,FALSE,FALSE,"neither"
"FRAS1",1.87530113276253,5.36516682579089e-07,0.750274556494785,8.0234671621,1.02588689418282,0.311641675687765,0.595628813512296,-5.63849381696089,TRUE,FALSE,"attenuated"
"FRAT1",0.318063243576717,0.148680664852266,0.341379076641174,7.882661629025,0.597301268010198,0.553964155048846,0.756885796182157,-5.97306603899221,FALSE,FALSE,"neither"
